shipping_id,order_id,shipping_date,shipping_address,shipping_method
119,117221,2024-12-24,Address_119,Express
120,27916,2024-08-07,Address_120,Express
121,56893,2024-07-16,Address_121,Standard
122,32261,2024-06-11,Address_122,Express
123,14940,2024-05-06,Address_123,Express
124,118137,2024-08-30,Address_124,Standard
125,51938,2024-10-01,Address_125,Standard
126,151221,2024-07-25,Address_126,Standard
127,158250,2024-04-30,Address_127,Standard
128,38256,2024-11-13,Address_128,Express
129,150847,2024-12-22,Address_129,Express
130,103238,2024-05-01,Address_130,Standard
131,123926,2024-08-22,Address_131,Express
132,108090,2024-09-27,Address_132,Express
133,58927,2024-04-08,Address_133,Express
134,161870,2024-07-31,Address_134,Express
135,61850,2024-09-14,Address_135,Standard
136,47860,2024-10-18,Address_136,Standard
137,17928,2024-08-13,Address_137,Standard
138,53701,2024-11-26,Address_138,Express
139,84155,2024-11-20,Address_139,Standard
140,157766,2024-01-28,Address_140,Standard
141,160904,2024-07-20,Address_141,Express
142,131224,2024-11-23,Address_142,Standard
143,75130,2024-12-22,Address_143,Express
144,14860,2024-12-01,Address_144,Express
145,40697,2024-12-15,Address_145,Express
146,92246,2024-11-09,Address_146,Standard
147,99451,2024-01-14,Address_147,Express
148,151491,2024-11-15,Address_148,Express
149,95462,2024-06-05,Address_149,Express
150,94167,2024-02-16,Address_150,Standard
151,130984,2024-04-01,Address_151,Express
152,70290,2024-10-08,Address_152,Standard
153,3281,2024-09-19,Address_153,Express
154,104900,2024-06-23,Address_154,Standard
155,117578,2024-12-06,Address_155,Standard
156,162763,2024-09-02,Address_156,Standard
157,15089,2024-05-21,Address_157,Standard
158,24798,2024-04-07,Address_158,Standard
159,119473,2024-12-22,Address_159,Express
160,158252,2024-10-23,Address_160,Express
161,27129,2024-03-13,Address_161,Express
162,14486,2024-03-25,Address_162,Standard
163,62961,2024-02-06,Address_163,Express
164,131469,2024-02-02,Address_164,Standard
165,154607,2024-09-20,Address_165,Standard
166,112554,2024-01-29,Address_166,Standard
167,97159,2024-02-18,Address_167,Standard
168,155657,2024-10-01,Address_168,Express
169,125777,2024-12-25,Address_169,Standard
170,132162,2024-10-31,Address_170,Standard
171,157699,2024-05-15,Address_171,Express
172,155145,2024-05-06,Address_172,Standard
173,119072,2024-04-05,Address_173,Express
174,154364,2024-09-21,Address_174,Express
175,21004,2024-12-26,Address_175,Express
176,20321,2024-06-30,Address_176,Standard
177,40934,2024-10-29,Address_177,Express
178,20926,2024-08-25,Address_178,Express
179,100738,2024-12-27,Address_179,Express
180,42912,2024-11-14,Address_180,Standard
181,39172,2024-11-26,Address_181,Standard
182,73638,2024-07-26,Address_182,Standard
183,90600,2024-01-29,Address_183,Express
184,85317,2024-01-01,Address_184,Standard
185,76756,2024-07-27,Address_185,Express
186,123029,2024-03-15,Address_186,Standard
187,31133,2024-06-14,Address_187,Express
188,138966,2024-02-12,Address_188,Express
189,165485,2024-09-25,Address_189,Standard
190,167772,2024-12-02,Address_190,Standard
191,29315,2024-12-18,Address_191,Express
192,125644,2024-06-08,Address_192,Standard
193,115347,2024-02-20,Address_193,Standard
194,52396,2024-03-23,Address_194,Standard
195,2762,2024-01-25,Address_195,Express
196,30604,2024-05-12,Address_196,Express
197,74381,2024-01-01,Address_197,Standard
198,28777,2024-11-12,Address_198,Standard
199,160624,2024-12-30,Address_199,Standard
200,30205,2024-05-25,Address_200,Express
201,60739,2024-05-14,Address_201,Express
202,112828,2024-09-08,Address_202,Standard
203,147219,2024-12-01,Address_203,Express
204,162865,2024-12-10,Address_204,Standard
205,79183,2024-02-21,Address_205,Express
206,16413,2024-08-17,Address_206,Express
207,6681,2024-05-15,Address_207,Standard
208,72718,2024-05-24,Address_208,Standard
209,106300,2024-10-24,Address_209,Express
210,86136,2024-08-17,Address_210,Standard
211,50964,2024-12-30,Address_211,Standard
212,104823,2024-03-01,Address_212,Express
213,58400,2024-11-20,Address_213,Express
214,62439,2024-08-28,Address_214,Express
215,168011,2024-07-12,Address_215,Express
216,66096,2024-04-30,Address_216,Standard
217,134123,2024-12-08,Address_217,Standard
218,95691,2024-04-15,Address_218,Express
219,69517,2024-12-27,Address_219,Standard
220,102174,2024-01-29,Address_220,Standard
221,23298,2024-07-04,Address_221,Standard
222,97252,2024-05-07,Address_222,Express
223,17253,2024-02-11,Address_223,Standard
224,22046,2024-04-01,Address_224,Express
225,16627,2024-04-24,Address_225,Standard
226,7488,2024-12-09,Address_226,Express
227,131661,2024-03-26,Address_227,Standard
228,107972,2024-06-13,Address_228,Standard
229,112674,2024-09-27,Address_229,Standard
230,92051,2024-08-08,Address_230,Standard
231,55333,2024-11-17,Address_231,Express
232,132494,2024-11-12,Address_232,Express
233,35923,2024-07-02,Address_233,Standard
234,91014,2024-01-14,Address_234,Express
235,74408,2024-03-26,Address_235,Standard
236,146701,2024-12-08,Address_236,Express
237,86960,2024-03-22,Address_237,Express
238,62634,2024-05-03,Address_238,Standard
239,45639,2024-11-10,Address_239,Express
240,47925,2024-02-11,Address_240,Express
241,168065,2024-09-30,Address_241,Standard
242,95793,2024-03-07,Address_242,Standard
243,93618,2024-11-27,Address_243,Express
244,112860,2024-08-13,Address_244,Standard
245,125274,2024-08-15,Address_245,Express
246,21573,2024-01-05,Address_246,Express
247,96219,2024-08-21,Address_247,Standard
248,112931,2024-07-04,Address_248,Standard
249,109541,2024-04-18,Address_249,Standard
250,168849,2024-01-03,Address_250,Standard
251,142301,2024-02-10,Address_251,Express
252,80460,2024-09-26,Address_252,Standard
253,88306,2024-07-01,Address_253,Standard
254,131703,2024-06-08,Address_254,Express
255,138897,2024-01-04,Address_255,Express
256,122758,2024-05-07,Address_256,Standard
257,37429,2024-08-11,Address_257,Standard
258,61623,2024-07-29,Address_258,Express
259,57905,2024-10-15,Address_259,Express
260,25336,2024-05-06,Address_260,Standard
261,87879,2024-04-02,Address_261,Express
262,136172,2024-03-25,Address_262,Standard
263,115234,2024-04-04,Address_263,Standard
264,77723,2024-01-05,Address_264,Standard
265,83171,2024-07-02,Address_265,Standard
266,109044,2024-08-24,Address_266,Express
267,166408,2024-08-29,Address_267,Express
268,86058,2024-06-28,Address_268,Standard
269,129454,2024-04-26,Address_269,Express
270,155510,2024-11-27,Address_270,Express
271,22304,2024-09-30,Address_271,Standard
272,111787,2024-08-01,Address_272,Standard
273,146345,2024-07-24,Address_273,Express
274,64880,2024-01-09,Address_274,Standard
275,107290,2024-05-28,Address_275,Express
276,146651,2024-12-07,Address_276,Standard
277,126619,2024-05-21,Address_277,Express
278,38302,2024-05-12,Address_278,Standard
279,28172,2024-12-18,Address_279,Express
280,116160,2024-05-23,Address_280,Express
281,168660,2024-04-13,Address_281,Standard
282,62859,2024-07-29,Address_282,Standard
283,101093,2024-01-29,Address_283,Express
284,68207,2024-05-09,Address_284,Standard
285,6755,2024-06-24,Address_285,Express
286,134875,2024-02-21,Address_286,Express
287,61785,2024-12-23,Address_287,Standard
288,102752,2024-04-27,Address_288,Express
289,154979,2024-06-27,Address_289,Standard
290,88362,2024-04-09,Address_290,Standard
291,38068,2024-08-17,Address_291,Standard
292,67361,2024-07-24,Address_292,Express
293,156681,2024-02-16,Address_293,Express
294,68895,2024-06-13,Address_294,Standard
295,154128,2024-11-05,Address_295,Express
296,137897,2024-07-30,Address_296,Standard
297,45214,2024-07-29,Address_297,Standard
298,162160,2024-02-07,Address_298,Standard
299,91107,2024-01-01,Address_299,Express
300,113980,2024-12-08,Address_300,Express
301,83819,2024-03-18,Address_301,Express
302,47820,2024-11-15,Address_302,Express
303,124590,2024-02-16,Address_303,Standard
304,96751,2024-02-25,Address_304,Standard
305,20397,2024-07-23,Address_305,Standard
306,108171,2024-09-17,Address_306,Standard
307,132456,2024-09-22,Address_307,Express
308,89937,2024-12-08,Address_308,Express
309,64505,2024-04-27,Address_309,Standard
310,7878,2024-02-24,Address_310,Express
311,73970,2024-10-03,Address_311,Express
312,138831,2024-10-10,Address_312,Express
313,131090,2024-03-28,Address_313,Standard
314,153454,2024-12-07,Address_314,Standard
315,57153,2024-08-31,Address_315,Express
316,146691,2024-02-01,Address_316,Express
317,151049,2024-06-21,Address_317,Standard
318,74148,2024-03-28,Address_318,Standard
319,33142,2024-03-27,Address_319,Express
320,146580,2024-09-17,Address_320,Express
321,34450,2024-01-18,Address_321,Standard
322,68819,2024-03-23,Address_322,Standard
323,112462,2024-01-19,Address_323,Standard
324,131764,2024-10-22,Address_324,Standard
325,157853,2024-08-14,Address_325,Standard
326,88128,2024-09-24,Address_326,Express
327,113736,2024-12-22,Address_327,Express
328,108391,2024-12-26,Address_328,Standard
329,105552,2024-03-03,Address_329,Standard
330,49816,2024-06-28,Address_330,Express
331,135065,2024-09-21,Address_331,Express
332,166449,2024-02-06,Address_332,Express
333,147335,2024-04-30,Address_333,Express
334,128175,2024-03-12,Address_334,Standard
335,68592,2024-06-05,Address_335,Standard
336,146852,2024-02-19,Address_336,Standard
337,119598,2024-03-17,Address_337,Express
338,139171,2024-08-13,Address_338,Standard
339,67314,2024-07-17,Address_339,Standard
340,93298,2024-01-20,Address_340,Standard
341,61208,2024-07-02,Address_341,Standard
342,121653,2024-02-28,Address_342,Standard
343,41206,2024-12-15,Address_343,Express
344,7888,2024-07-24,Address_344,Express
345,15093,2024-09-16,Address_345,Standard
346,8379,2024-10-07,Address_346,Standard
347,62645,2024-09-26,Address_347,Standard
348,66199,2024-08-14,Address_348,Standard
349,22208,2024-06-17,Address_349,Express
350,104666,2024-09-08,Address_350,Standard
351,10569,2024-10-13,Address_351,Standard
352,154980,2024-09-03,Address_352,Express
353,100902,2024-05-25,Address_353,Standard
354,52760,2024-03-17,Address_354,Standard
355,165612,2024-06-27,Address_355,Express
356,78647,2024-07-04,Address_356,Standard
357,60461,2024-12-08,Address_357,Standard
358,99702,2024-06-04,Address_358,Express
359,110906,2024-06-02,Address_359,Express
360,104129,2024-10-02,Address_360,Standard
361,120206,2024-03-25,Address_361,Standard
362,125460,2024-01-26,Address_362,Standard
363,93720,2024-09-17,Address_363,Standard
364,153037,2024-05-16,Address_364,Standard
365,103108,2024-10-04,Address_365,Standard
366,121480,2024-06-22,Address_366,Express
367,150352,2024-01-09,Address_367,Standard
368,102825,2024-10-23,Address_368,Express
369,48374,2024-07-14,Address_369,Standard
370,151316,2024-11-20,Address_370,Standard
371,3521,2024-03-03,Address_371,Standard
372,106034,2024-08-31,Address_372,Express
373,2639,2024-03-24,Address_373,Express
374,163192,2024-10-21,Address_374,Standard
375,85240,2024-02-01,Address_375,Express
376,31286,2024-04-03,Address_376,Standard
377,1199,2024-05-03,Address_377,Express
378,8976,2024-08-25,Address_378,Standard
379,158979,2024-08-12,Address_379,Standard
380,34957,2024-09-14,Address_380,Standard
381,102937,2024-10-14,Address_381,Standard
382,144987,2024-02-07,Address_382,Standard
383,72938,2024-01-26,Address_383,Express
384,114998,2024-04-21,Address_384,Standard
385,103806,2024-08-11,Address_385,Express
386,141942,2024-09-30,Address_386,Express
387,52495,2024-05-29,Address_387,Standard
388,77306,2024-02-27,Address_388,Express
389,164252,2024-01-18,Address_389,Express
390,56013,2024-04-23,Address_390,Express
391,67789,2024-05-20,Address_391,Standard
392,124683,2024-08-15,Address_392,Standard
393,40105,2024-03-26,Address_393,Standard
394,67574,2024-11-03,Address_394,Standard
395,147352,2024-11-18,Address_395,Standard
396,128875,2024-09-01,Address_396,Standard
397,48837,2024-03-13,Address_397,Express
398,21705,2024-03-23,Address_398,Express
399,96445,2024-04-07,Address_399,Express
400,39390,2024-05-20,Address_400,Standard
401,160173,2024-12-18,Address_401,Express
402,123373,2024-04-09,Address_402,Express
403,130552,2024-04-05,Address_403,Express
404,85712,2024-03-29,Address_404,Express
405,111780,2024-01-04,Address_405,Express
406,91294,2024-07-07,Address_406,Express
407,150216,2024-05-02,Address_407,Express
408,34020,2024-11-02,Address_408,Express
409,53602,2024-01-17,Address_409,Standard
410,164653,2024-10-16,Address_410,Express
411,140626,2024-06-20,Address_411,Express
412,150965,2024-09-20,Address_412,Standard
413,63111,2024-07-04,Address_413,Express
414,53303,2024-09-08,Address_414,Standard
415,167260,2024-11-01,Address_415,Express
416,78087,2024-08-28,Address_416,Standard
417,35930,2024-10-12,Address_417,Express
418,11281,2024-07-27,Address_418,Express
419,157241,2024-08-08,Address_419,Standard
420,158335,2024-03-23,Address_420,Standard
421,156968,2024-07-15,Address_421,Express
422,43690,2024-04-08,Address_422,Express
423,116659,2024-06-07,Address_423,Express
424,107299,2024-09-23,Address_424,Standard
425,106304,2024-08-06,Address_425,Standard
426,165089,2024-09-09,Address_426,Express
427,46887,2024-03-25,Address_427,Express
428,77511,2024-08-24,Address_428,Standard
429,114410,2024-12-29,Address_429,Express
430,44170,2024-09-24,Address_430,Standard
431,46970,2024-06-28,Address_431,Express
432,31277,2024-09-09,Address_432,Standard
433,34957,2024-08-29,Address_433,Standard
434,54903,2024-04-07,Address_434,Express
435,92311,2024-05-24,Address_435,Standard
436,38629,2024-02-10,Address_436,Express
437,79358,2024-09-01,Address_437,Standard
438,114839,2024-03-30,Address_438,Express
439,73302,2024-07-26,Address_439,Standard
440,111953,2024-04-30,Address_440,Standard
441,53743,2024-06-16,Address_441,Standard
442,83802,2024-05-28,Address_442,Standard
443,78472,2024-03-24,Address_443,Express
444,103899,2024-10-07,Address_444,Express
445,41221,2024-04-21,Address_445,Standard
446,145883,2024-07-27,Address_446,Standard
447,120890,2024-12-20,Address_447,Standard
448,59491,2024-06-03,Address_448,Standard
449,97712,2024-10-31,Address_449,Standard
450,49050,2024-11-11,Address_450,Standard
451,159591,2024-01-13,Address_451,Express
452,89622,2024-03-11,Address_452,Standard
453,89749,2024-04-09,Address_453,Standard
454,127368,2024-08-31,Address_454,Express
455,151832,2024-09-02,Address_455,Express
456,140776,2024-02-15,Address_456,Express
457,519,2024-01-26,Address_457,Express
458,126194,2024-11-21,Address_458,Standard
459,34904,2024-05-04,Address_459,Express
460,9406,2024-11-16,Address_460,Express
461,162273,2024-05-27,Address_461,Express
462,90866,2024-05-24,Address_462,Standard
463,148955,2024-10-17,Address_463,Express
464,115084,2024-03-02,Address_464,Express
465,34347,2024-01-05,Address_465,Express
466,54139,2024-08-24,Address_466,Standard
467,73308,2024-07-06,Address_467,Express
468,149219,2024-07-31,Address_468,Standard
469,87454,2024-11-12,Address_469,Express
470,141374,2024-04-09,Address_470,Standard
471,33535,2024-06-25,Address_471,Express
472,156712,2024-09-17,Address_472,Standard
473,67219,2024-07-12,Address_473,Standard
474,115392,2024-06-26,Address_474,Express
475,102915,2024-07-27,Address_475,Standard
476,158408,2024-05-07,Address_476,Express
477,18185,2024-01-23,Address_477,Standard
478,28285,2024-03-09,Address_478,Standard
479,34200,2024-05-17,Address_479,Express
480,119238,2024-05-09,Address_480,Standard
481,21797,2024-09-11,Address_481,Standard
482,74977,2024-05-30,Address_482,Express
483,114306,2024-12-13,Address_483,Express
484,40745,2024-04-09,Address_484,Express
485,133531,2024-04-16,Address_485,Standard
486,107011,2024-09-30,Address_486,Express
487,109066,2024-06-06,Address_487,Standard
488,26966,2024-10-30,Address_488,Standard
489,162368,2024-08-20,Address_489,Standard
490,90457,2024-06-04,Address_490,Standard
491,86315,2024-05-15,Address_491,Express
492,109574,2024-03-31,Address_492,Standard
493,147347,2024-02-04,Address_493,Express
494,133604,2024-08-31,Address_494,Express
495,149131,2024-11-09,Address_495,Express
496,15586,2024-01-02,Address_496,Express
497,40240,2024-07-12,Address_497,Standard
498,70899,2024-04-20,Address_498,Express
499,39283,2024-12-08,Address_499,Express
500,160610,2024-09-13,Address_500,Express
501,163861,2024-09-06,Address_501,Standard
502,124147,2024-12-04,Address_502,Express
503,117914,2024-07-13,Address_503,Standard
504,74119,2024-12-29,Address_504,Standard
505,17754,2024-04-07,Address_505,Express
506,42043,2024-12-26,Address_506,Express
507,156878,2024-08-18,Address_507,Express
508,148197,2024-08-06,Address_508,Standard
509,82618,2024-06-05,Address_509,Standard
510,68270,2024-12-21,Address_510,Standard
511,95158,2024-05-06,Address_511,Standard
512,47157,2024-05-24,Address_512,Standard
513,116509,2024-11-15,Address_513,Express
514,73393,2024-04-18,Address_514,Standard
515,118078,2024-06-11,Address_515,Express
516,102975,2024-10-27,Address_516,Express
517,80064,2024-10-27,Address_517,Express
518,71164,2024-04-20,Address_518,Express
519,166698,2024-09-01,Address_519,Standard
520,11062,2024-06-19,Address_520,Express
521,118516,2024-09-19,Address_521,Express
522,11083,2024-11-12,Address_522,Standard
523,77705,2024-01-09,Address_523,Standard
524,88184,2024-05-10,Address_524,Standard
525,70126,2024-06-25,Address_525,Standard
526,119022,2024-03-28,Address_526,Express
527,20232,2024-11-28,Address_527,Express
528,52571,2024-08-30,Address_528,Express
529,16103,2024-11-04,Address_529,Express
530,129538,2024-04-05,Address_530,Standard
531,98211,2024-08-18,Address_531,Express
532,65111,2024-01-05,Address_532,Express
533,130625,2024-09-07,Address_533,Standard
534,16232,2024-02-26,Address_534,Standard
535,146873,2024-05-04,Address_535,Express
536,88803,2024-07-24,Address_536,Express
537,150964,2024-04-17,Address_537,Express
538,92134,2024-03-05,Address_538,Express
539,90774,2024-11-01,Address_539,Express
540,17720,2024-12-02,Address_540,Standard
541,99243,2024-02-19,Address_541,Express
542,18128,2024-07-30,Address_542,Standard
543,11956,2024-11-20,Address_543,Standard
544,131225,2024-09-15,Address_544,Standard
545,150269,2024-11-14,Address_545,Standard
546,143126,2024-11-29,Address_546,Express
547,124586,2024-11-29,Address_547,Standard
548,82808,2024-09-19,Address_548,Express
549,69556,2024-07-06,Address_549,Standard
550,35118,2024-02-01,Address_550,Express
551,5785,2024-08-25,Address_551,Standard
552,98017,2024-10-24,Address_552,Express
553,111583,2024-08-12,Address_553,Express
554,133199,2024-06-14,Address_554,Standard
555,24057,2024-11-19,Address_555,Express
556,128641,2024-09-28,Address_556,Standard
557,139899,2024-11-09,Address_557,Express
558,140244,2024-07-30,Address_558,Express
559,31804,2024-12-22,Address_559,Standard
560,134776,2024-11-18,Address_560,Standard
561,72593,2024-06-26,Address_561,Express
562,49963,2024-01-20,Address_562,Express
563,69364,2024-03-01,Address_563,Standard
564,585,2024-01-05,Address_564,Standard
565,53797,2024-07-08,Address_565,Standard
566,45839,2024-02-22,Address_566,Standard
567,4966,2024-11-04,Address_567,Standard
568,71318,2024-11-10,Address_568,Standard
569,12794,2024-11-13,Address_569,Express
570,153198,2024-12-06,Address_570,Express
571,90937,2024-09-23,Address_571,Standard
572,27524,2024-11-06,Address_572,Express
573,40295,2024-01-16,Address_573,Express
574,97855,2024-01-23,Address_574,Express
575,12216,2024-02-17,Address_575,Express
576,152158,2024-03-18,Address_576,Standard
577,81267,2024-08-28,Address_577,Standard
578,5871,2024-12-11,Address_578,Standard
579,44128,2024-02-16,Address_579,Standard
580,157998,2024-10-13,Address_580,Standard
581,113965,2024-09-30,Address_581,Express
582,48347,2024-04-27,Address_582,Standard
583,139060,2024-07-31,Address_583,Express
584,39052,2024-03-10,Address_584,Standard
585,82374,2024-12-13,Address_585,Express
586,67371,2024-06-24,Address_586,Standard
587,88492,2024-02-09,Address_587,Express
588,143422,2024-04-11,Address_588,Standard
589,95624,2024-04-05,Address_589,Standard
590,38738,2024-07-06,Address_590,Express
591,142960,2024-04-07,Address_591,Express
592,69000,2024-09-07,Address_592,Standard
593,23906,2024-02-25,Address_593,Standard
594,96889,2024-10-14,Address_594,Express
595,157859,2024-08-29,Address_595,Standard
596,106384,2024-08-02,Address_596,Express
597,43995,2024-12-25,Address_597,Express
598,123612,2024-02-27,Address_598,Express
599,156616,2024-02-04,Address_599,Standard
600,97077,2024-06-16,Address_600,Standard
601,45025,2024-04-27,Address_601,Standard
602,32345,2024-03-16,Address_602,Standard
603,37321,2024-05-08,Address_603,Standard
604,38343,2024-05-06,Address_604,Standard
605,153776,2024-07-06,Address_605,Express
606,110077,2024-07-26,Address_606,Standard
607,59689,2024-06-02,Address_607,Express
608,115715,2024-11-11,Address_608,Express
609,42054,2024-11-27,Address_609,Standard
610,112730,2024-05-11,Address_610,Express
611,166718,2024-09-17,Address_611,Express
612,11880,2024-04-18,Address_612,Standard
613,31019,2024-09-27,Address_613,Standard
614,137669,2024-06-10,Address_614,Standard
615,104986,2024-08-10,Address_615,Express
616,110757,2024-05-24,Address_616,Express
617,55247,2024-10-05,Address_617,Standard
618,8139,2024-07-14,Address_618,Standard
619,37213,2024-12-30,Address_619,Standard
620,33514,2024-12-29,Address_620,Standard
621,24521,2024-04-17,Address_621,Standard
622,132921,2024-07-07,Address_622,Standard
623,68753,2024-02-15,Address_623,Express
624,153330,2024-08-20,Address_624,Express
625,67789,2024-11-27,Address_625,Express
626,78168,2024-04-14,Address_626,Standard
627,76988,2024-06-09,Address_627,Express
628,98890,2024-12-12,Address_628,Express
629,58404,2024-11-24,Address_629,Express
630,144870,2024-08-05,Address_630,Standard
631,29394,2024-10-11,Address_631,Express
632,119201,2024-09-18,Address_632,Standard
633,67069,2024-11-17,Address_633,Express
634,66700,2024-11-13,Address_634,Standard
635,104655,2024-07-11,Address_635,Standard
636,117555,2024-12-19,Address_636,Express
637,7077,2024-08-28,Address_637,Standard
638,148758,2024-08-24,Address_638,Express
639,118149,2024-05-21,Address_639,Standard
640,154740,2024-11-15,Address_640,Standard
641,8576,2024-12-15,Address_641,Express
642,129778,2024-09-26,Address_642,Express
643,120739,2024-09-11,Address_643,Standard
644,89111,2024-11-29,Address_644,Express
645,153628,2024-03-02,Address_645,Standard
646,100087,2024-02-29,Address_646,Standard
647,105517,2024-08-07,Address_647,Standard
648,121947,2024-05-06,Address_648,Standard
649,95493,2024-10-15,Address_649,Express
650,126644,2024-03-11,Address_650,Standard
651,160612,2024-08-26,Address_651,Express
652,133950,2024-12-07,Address_652,Express
653,68906,2024-09-23,Address_653,Express
654,165134,2024-06-10,Address_654,Express
655,60771,2024-01-18,Address_655,Standard
656,24926,2024-06-13,Address_656,Standard
657,82539,2024-07-18,Address_657,Standard
658,134192,2024-04-09,Address_658,Express
659,118820,2024-06-20,Address_659,Standard
660,95626,2024-11-07,Address_660,Standard
661,161036,2024-09-23,Address_661,Express
662,89884,2024-08-19,Address_662,Express
663,143044,2024-03-22,Address_663,Express
664,138072,2024-09-22,Address_664,Express
665,84747,2024-03-03,Address_665,Standard
666,160368,2024-05-09,Address_666,Express
667,67269,2024-02-26,Address_667,Standard
668,129741,2024-11-05,Address_668,Standard
669,89001,2024-10-15,Address_669,Express
670,140091,2024-12-13,Address_670,Standard
671,31935,2024-06-22,Address_671,Standard
672,117494,2024-12-09,Address_672,Express
673,98961,2024-02-02,Address_673,Express
674,39909,2024-03-03,Address_674,Standard
675,66969,2024-12-01,Address_675,Standard
676,160372,2024-09-25,Address_676,Standard
677,73026,2024-03-05,Address_677,Express
678,84613,2024-10-14,Address_678,Standard
